"dish","date","price","ingredients","location","business"
"Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","14.08.2017","","Vegan;Vegetarian","Adlershof","Esswirtschaft"
"Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","15.08.2017","","Vegan;Vegetarian","Adlershof","Esswirtschaft"
"Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","16.08.2017","","Vegan;Vegetarian","Adlershof","Esswirtschaft"
"Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","17.08.2017","","Vegan;Vegetarian","Adlershof","Esswirtschaft"
"Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","18.08.2017","","Vegan;Vegetarian","Adlershof","Esswirtschaft"
"Süßbataten-Kokoscreme mit mariniertem Rindfleisch","14.08.2017","","","Adlershof","Esswirtschaft"
"Süßbataten-Kokoscreme mit mariniertem Rindfleisch","15.08.2017","","","Adlershof","Esswirtschaft"
"Süßbataten-Kokoscreme mit mariniertem Rindfleisch","16.08.2017","","","Adlershof","Esswirtschaft"
"Süßbataten-Kokoscreme mit mariniertem Rindfleisch","17.08.2017","","","Adlershof","Esswirtschaft"
"Süßbataten-Kokoscreme mit mariniertem Rindfleisch","18.08.2017","","","Adlershof","Esswirtschaft"
"Griechischer Gyrostopf mit Zwiebeln","14.08.2017","","","Adlershof","Esswirtschaft"
"Griechischer Gyrostopf mit Zwiebeln","15.08.2017","","","Adlershof","Esswirtschaft"
"Griechischer Gyrostopf mit Zwiebeln","16.08.2017","","","Adlershof","Esswirtschaft"
"Griechischer Gyrostopf mit Zwiebeln","17.08.2017","","","Adlershof","Esswirtschaft"
"Griechischer Gyrostopf mit Zwiebeln","18.08.2017","","","Adlershof","Esswirtschaft"
"Bio-Kartoffelcreme mit Fenchel","14.08.2017","","","Adlershof","Esswirtschaft"
"Bio-Kartoffelcreme mit Fenchel","15.08.2017","","","Adlershof","Esswirtschaft"
"Bio-Kartoffelcreme mit Fenchel","16.08.2017","","","Adlershof","Esswirtschaft"
"Bio-Kartoffelcreme mit Fenchel","17.08.2017","","","Adlershof","Esswirtschaft"
"Bio-Kartoffelcreme mit Fenchel","18.08.2017","","","Adlershof","Esswirtschaft"
"Krautfleckerl mit Spitzkohl, Nudelblättern und Hackfleisch Topping","14.08.2017","","","Adlershof","Esswirtschaft"
"Brokkoli-Kartoffel-Gratin mit Kräuterquark","14.08.2017","","Vegetarian","Adlershof","Esswirtschaft"
"Beamtenstippe mit Markerbsen, dazu Salzkartoffeln","15.08.2017","","","Adlershof","Esswirtschaft"
"Penne Rigate mit Basilikumpesto, Parmesan und frittiertem Rucola","15.08.2017","","Vegetarian","Adlershof","Esswirtschaft"
"Quinoa Pfanne mit Hähnchenbrust und Kokosraspel","16.08.2017","","","Adlershof","Esswirtschaft"
"Schupfnudelpfanne mit Gemüse und frittiertem Rucola","16.08.2017","","Vegetarian","Adlershof","Esswirtschaft"
"Rinderroulade mit Speck und Gurke auf Rahmwirsing, dazu Kartoffelpüree","17.08.2017","","","Adlershof","Esswirtschaft"
"dish","date","price","ingredients","location","business"
"Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","14.7.2017","7.5","Bio","Adlershof","Jouis Nour"
"Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","14.7.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Zucchinicremesuppe mit gerösteten Haferflocken","14.7.2017","4.5","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","17.7.2017","7.5","Bio","Adlershof","Jouis Nour"
"Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","17.7.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Zucchinicremesuppe mit gerösteten Haferflocken","17.7.2017","4.5","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","18.7.2017","7.5","Bio","Adlershof","Jouis Nour"
"Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce","18.7.2017","5.9","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse","18.7.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons","19.7.2017","7.5","Bio","Adlershof","Jouis Nour"
"Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat","19.7.2017","5.5","Bio;Vegetarian","Adlershof","Jouis Nour"
"Grüner Bohnen-Eintopf mit Sonnenblumenkernen","19.7.2017","4.5","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Seelachs mit Rahmlinsen, bunten Reis und grüner Salat","20.7.2017","7.9","Fish","Adlershof","Jouis Nour"
"Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste","20.7.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Kohlrabicreme-Suppe mit Schnittlauch","20.7.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree","21.7.2017","7","Bio","Adlershof","Jouis Nour"
"Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto","21.7.2017","5.5","Bio;Vegetarian","Adlershof","Jouis Nour"
"Blumenkohl-Süppchen mit gerösteten Haferflocken","21.7.2017","4","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Schaschlik-Spieß mit ungarische, Letscho und Reis","24.7.2017","7.5","Bio","Adlershof","Jouis Nour"
"Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand","24.7.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Paprika-Mais Suppe mit Sonnenblumenkerne","24.7.2017","4","Bio;Vegan;Soup;Vegetarian","Adlershof","Jouis Nour"
"Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce","25.7.2017","7","Bio","Adlershof","Jouis Nour"
"Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip","25.7.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Champignon-Cremesuppe mit frischen Kräutern","25.7.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln","26.7.2017","7.5","Bio","Adlershof","Jouis Nour"
"Bandnudeln an Pfifferlingsrahm und Krischtomaten","26.7.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Berliner Kartoffelsuppe mit Kräuterschmand","26.7.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat","27.7.2017","7.9","Fish","Adlershof","Jouis Nour"
"Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip","27.7.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Tomatencremesuppe mit Käse-Croutons","27.7.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln","28.7.2017","7.5","Bio","Adlershof","Jouis Nour"
"Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern","27.7.2017","6","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Lauch-Rahmsüppchen mit Karotttenraspeln","27.7.2017","4","Bio;Vegetarian","Adlershof","Jouis Nour"
"Riz Casimir mit gerösteten Mandelsplittern und Reis","17.08.2017","","Vegetarian","Adlershof","Esswirtschaft"
"Fischfilet, in der Eihülle gebacken, mit Tomatensauce und Spaghettini","18.08.2017","","Fish","Adlershof","Esswirtschaft"
"Gebratener Reis mit Räuchertofu, Senfkohl und Sojasauce","18.08.2017","","Vegan;Vegetarian","Adlershof","Esswirtschaft"
"Schnitzel mit Pfifferlings-Waldpilz-Rahmsauce, Kartoffelstampf und Tomatensalat","31.7.2017","7.5","Bio","Adlershof","Jouis Nour"
"Spaghettimit Gemüsebolognese und Sonnenblumenkernen","31.7.2017","5.5","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Feuriger Paprikatopf mit Tofustückchen","31.7.2017","4.5","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Thai-Gemüsesuppe mit Kokosmilch und Hähnchen","1.8.2017","4.5","Bio;Soup","Adlershof","Jouis Nour"
"Tafelspitz mit Meerrettichsauce und Fingermöhren an Salzkartoffeln","1.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Griechischer Spinatauflauf mit Tzatziki und geröstetem Sesam","1.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Spinatcremesuppe mit Tomatenwürfeln","2.8.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Pikanter Gulasch vom Schwein mit Waldpilzen und Salzkartoffeln","2.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Pasta mit Gorgonzolasauce, Rucola und Kirschtomaten","2.8.2017","5.5","Bio;Vegetarian","Adlershof","Jouis Nour"
"Rote Linsensuppe mit Paprikastreifen","3.8.2017","4","Bio;Vegan;Soup;Vegetarian","Adlershof","Jouis Nour"
"Gebratener Rotbarsch mit Senfsauce, Kartoffeln und Rahmgurken","3.8.2017","7.9","Fish","Adlershof","Jouis Nour"
"Polenta-Porree-Auflauf mit gerösteten Sonnenblumenkernen und Tomaten-Pesto","3.8.2017","5.9","Bio","Adlershof","Jouis Nour"
"Kaltes Gurkensüppchen mit Tomaten-Kräuter-Pesto","4.8.2017","4","Bio;Vegetarian","Adlershof","Jouis Nour"
"Geflügelbällchen mit Paprika-Tomaten-Gemüse und Kartoffelecken","4.8.2017","7","Bio","Adlershof","Jouis Nour"
"Rahmspinat mit gekochten Eiern an Petersilienkartoffeln","4.8.2017","5.5","Bio;Vegetarian","Adlershof","Jouis Nour"
"Fruchtige Kürbissuppe mit gerösteten Kürbiskernen","7.8.2017","4","Bio;Vegan;Soup;Vegetarian","Adlershof","Jouis Nour"
"Rindergeschnetzeltes in pikanter Pfeffersauce mit Langkornreis und frischen Kräutern","7.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Bunte Gemüse-Gnocchipfanne an Kräuterrahm","7.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Brokkolisuppe mit Tomatenwürfel und Sonnenblumenkernen","8.8.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Mini Grillhaxen mit Sellerie-Kartoffelpüree und Malzbiersauce","8.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Orientalische Gemüse Cous Cous Pfanne mit Joghurt-Minz-Dip","8.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Kichererbsensüppchen mit frischen Kräutern","9.8.2017","4","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Gebratene Hähnchenkeule mit Backkartoffeln, Sour Cream und Cole Slaw","9.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Tagliatelle mit Pfifferling-Rahmsauce und Petersilienschmand","9.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Fleisch-Soljanka mit saurer Sahne und frischen Kräutern","10.8.2017","5","Bio;Soup","Adlershof","Jouis Nour"
"Kabeljau an Currygemüse mit Basmatireis und buntem Blattsalat","10.8.2017","7.9","Fish","Adlershof","Jouis Nour"
"Spinat-Lasagne mit Frischkäsesauce","10.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Minestrone mit Knackigen Croutons","11.8.2017","4","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Boulette nach Balkan Art mit Feta und Peperoni, dazu grüne Bohnen und Kartoffeln","11.8.2017","7","Bio","Adlershof","Jouis Nour"
"Bulgur Gemüseüfanne mit gepufften Buchweizen und Pestosauce","11.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Süßkartoffelsuppe mit Blattspinat und Tomatenwürfeln","14.8.2017","4","Bio;Vegan;Soup;Vegetarian","Adlershof","Jouis Nour"
"Hackfleisch-Kohlpfanne mit Salzkartoffeln","14.8.2017","7","Bio","Adlershof","Jouis Nour"
"Gemüseteller mit Holländischer Sauce","14.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Tomatensuppe mit Basilikum-Schmand","15.8.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Gefülltes Putensteak mit Brokkoli und Kurkumareis","15.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"dish","date","price","ingredients","location","business"
"Hühner-Gemüse-Suppe mit Käsestangen& 1 Brötchen","14.08.2017","4.00","Soup","Adlershof","Sonnenschein"
"Hüftsteak mit Möhrenwürfeln & Kichererbsen in Paprikasauce, Butterkartoffeln","14.08.2017","6.00","","Adlershof","Sonnenschein"
"Hühnerbrust mit grüne Bohnen in Tomatensauce überbacken mit Feta Gr. Art, Reis","14.08.2017","6.00","","Adlershof","Sonnenschein"
"Hackbällchen in Pilz-Kräuter-Rahm, Reis, Salat","14.08.2017","6.00","","Adlershof","Sonnenschein"
"Schweinefiletwürfeln auf Kartoffeln überbacken mit Käse, Salat","14.08.2017","6.00","","Adlershof","Sonnenschein"
"Gemüsequische „Quer durch Beet“, Salat, Paprikarahmsauce (vegetarisch)","14.08.2017","5.00","Vegetarian","Adlershof","Sonnenschein"
"Herzhafte Lammfleischsuppe & 1 Brötchen","15.08.2017","4.00","Soup","Adlershof","Sonnenschein"
"Rindergulasch „Klassisch“, Apfelrotkohl, Butterkartoffeln","15.08.2017","6.00","","Adlershof","Sonnenschein"
"Griechische Putten Rollbraten, grüne Bohnen, Butterkart., Paprikarahmsauce","15.08.2017","6.00","","Adlershof","Sonnenschein"
"Mit Brokkoli gefüllte Schweinefilet, Bratkartoffeln, Salat, Sauce","15.08.2017","6.00","","Adlershof","Sonnenschein"
"Hühnerbruststreifen mit Blumenkohlröschen in Kokos-Mango-Sauce, Reis","15.08.2017","6.00","","Adlershof","Sonnenschein"
"Mangold-Kartoffel-Strudel, Salat, Sauce (vegetarisch)","15.08.2017","5.00","Vegetarian","Adlershof","Sonnenschein"
"Gulaschsuppe & 1 Brötchen","16.08.2017","4.00","Soup","Adlershof","Sonnenschein"
"Mit Rinder gehacktem gefüllte Paprika, Erbsen, Kräuterbutterkartoffeln, Del.sauce","16.08.2017","6.00","","Adlershof","Sonnenschein"
"Chicken Wings Barbecue, Bratkartoffeln, Salat","16.08.2017","6.00","","Adlershof","Sonnenschein"
"Zucchini mit Schweine gehacktem Füllung überbacken, Reis, Paprikarahmsauce","16.08.2017","6.00","","Adlershof","Sonnenschein"
"Spagetti mit Kochschinken würfeln Möhren-Erbsen in Käsesauce","16.08.2017","5.50","","Adlershof","Sonnenschein"
"Penne-Auflauf mit Brokkoli &Tomaten, Salat, Sauce (vegetarisch)","16.08.2017","5.00","Vegetarian","Adlershof","Sonnenschein"
"Chili con Carne & 1 Brötchen","17.08.2017","4.00","","Adlershof","Sonnenschein"
"Norwegische Lachsroulade mit Spinatkäsefüllung, Kräuterbutter Kartoffeln, Möhrengemüse, Kräuterrahmsauce","17.08.2017","6.80","Fish","Adlershof","Sonnenschein"
"Kottelet a la Kiew (Hühnerbrust) Bratkartoffeln, Salat, Sauce","17.08.2017","6.00","","Adlershof","Sonnenschein"
"- Schweine-Paprikagulasch Ung. Art, Nudeln","17.08.2017","6.00","","Adlershof","Sonnenschein"
"Rinder Hacksteak mit einem Spiegelei und Rostbratzwiebeln auf grüne Bohnen, Butterkartoffeln, Del.sauce","17.08.2017","6.00","","Adlershof","Sonnenschein"
"Gorgonzola Rahmspinat, Butterkartoffeln, 2 Spiegeleier (vegetarisch)","17.08.2017","5.50","Vegetarian","Adlershof","Sonnenschein"
"Kartoffelsuppe mit Würstchen a la Greque & 1 Brötchen","18.08.2017","4.00","Soup","Adlershof","Sonnenschein"
"Saltimbocca a la Romana (Hühnerbrust) Bratkartoffeln, Salat, Anjarsauce","18.08.2017","6.00","","Adlershof","Sonnenschein"
"Pastizio (Nudeln-Hackfleisch-Auflauf), Sauce, Salat","18.08.2017","6.00","","Adlershof","Sonnenschein"
"Eierkuchenpäckchen mit Rindergehacktem überbacken mit Käse zu Gemüseragout","18.08.2017","6.00","","Adlershof","Sonnenschein"
"Matjesfilet Hausfrauen Art, Butterkartoffeln, Salat","18.08.2017","6.00","","Adlershof","Sonnenschein"
"Kartoffel-Gemüse-Gratin, Sauce, Salat (vegetarisch)","18.08.2017","5.00","Vegetarian","Adlershof","Sonnenschein"
"Pflammkuchen: Thunfisch & Zwiebeln","16.08.2017","6.00","Pflammkuchen;Fish","Adlershof","Albert"
"Pflammkuchen: Thunfisch & Zwiebeln","17.08.2017","6.00","Pflammkuchen;Fish","Adlershof","Albert"
"Pflammkuchen: Thunfisch & Zwiebeln","18.08.2017","6.00","Pflammkuchen;Fish","Adlershof","Albert"
"Mediterrane Gemüse-Lasagne mit Buchweizen und Hausgemachtem Kräuterquark","15.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Vegetarisches Chili con Soja mit Koriander und Joghurtdip","16.8.2017","4.5","Bio;Vegetarian","Adlershof","Jouis Nour"
"Schnitzel Wiener Art mit Blumenkohlrahm und Salzkartoffeln","16.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Penne Arabiatta mit Kirschtomaten und Gouda","16.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Feine Erbsen-Kräutercremesuppe mit Karottenstreifen","17.8.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Forelle Müllerin Art mit Wurzelgemüse und Petersilienkartoffeln","17.8.2017","","Fish","Adlershof","Jouis Nour"
"Waldpilzrisotto mit Parmesanhobel","17.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Blumenkohl-Süppchen mit gerösteten Haferflocken","18.8.2017","4","Bio;Vegetarian","Adlershof","Jouis Nour"
"Rinderboulette gefüllt mit Fetakäse an Ratatouille und Tomatenreis","18.8.2017","7","Bio","Adlershof","Jouis Nour"
"Linsen-Gemüse-Curry mit Basmatireis und Koriander","18.8.2017","5.9","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Zucchinisuppe mit Infwer-Croutons","21.8.2017","4","Bio;Vegan;Soup;Vegetarian","Adlershof","Jouis Nour"
"Szegediner Gulasch mit Kartoffeln und Creme Fraiche","21.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Tomatisierte Spaghetti mit Spinat, gerösteten Nüssen und geriebenem Käse","21.8.2017","5.5","Bio;Vegetarian","Adlershof","Jouis Nour"
"Beluga-Linsensuppe mit Zitronenjoghurt-Dip","22.8.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Falscher Hase mit Möhren auf Kartoffelpüree mit Dill-Joghurt-Dip","22.8.2017","7","Bio","Adlershof","Jouis Nour"
"Gemüse-Grünkern-Pfanne mit Naturreis und einer leichten Nuss-Sauce","22.8.2017","5.9","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Klare Rinderbrühe mit Fadennudeln","23.8.2017","4","Bio","Adlershof","Jouis Nour"
"Putenschnitzel mit Pfifferlingsauce und Rosmarinkartoffeln","23.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Schupfnudelpfanne mit Basilikumpesto und Marktgemüse","23.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Cremige Rucola-Käsesuppe mit Chili-Croutons","24.8.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Gebratener Seelachs auf Mangold-Zucchinigemüse mit gebackenen Süßkartoffeln und Currysauce","24.8.2017","7.9","Fish","Adlershof","Jouis Nour"
"Feuriger Couscous mit marokkanischem Gemüsetopf und Ingwer-Zimt-Dip","24.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Sellerie-Cremesuppe mit Kräutern","25.8.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Rinderstreifen nach Stroganoff Art mit Salzkartoffeln","25.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Blumenkohl-Amaranth-Pfanne an Tomatensauce","25.8.2017","5.9","Bio;Vegan;Vegetarian","Adlershof","Jouis Nour"
"Indische Möhrensuppe mit Orangen-Joghurt","28.8.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Puten-Gyros mit Tomaten-Paprikasauce und Vollkornreis","28.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Gemüse-Kichererbsenpfanne und Joghurt-Dip","28.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Kartoffel-Frischkäsesuppe mit frischem Dill","29.8.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Berliner Jägerschnitzel mit Tomatensauce und Spirelli","29.8.2017","6.5","Bio","Adlershof","Jouis Nour"
"Getreide-Gemüse-Taler mit Sesamsauce und buntem Salat","29.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Kürbis-Cremesuppe mit Orangen und Ingwer dazu Sesam","30.8.2017","4","Bio;Soup;Vegetarian","Adlershof","Jouis Nour"
"Cordon Bleu vom Schwein mit Brokkoli und Kartoffelstampf","30.8.2017","7.5","Bio","Adlershof","Jouis Nour"
"Farfalle mit Pilz-Ragout und Cherrytomaten dazu geriebenen Käse","30.8.2017","5.9","Bio;Vegetarian","Adlershof","Jouis Nour"
"Berliner Erbsensuppe mit Wiener Würstchen","31.8.2017","4.5","Bio;Soup","Adlershof","Jouis Nour"
