"Jouis Nour","5.9","Bio;Vegetarian","Adlershof","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste","20.7.2017"
"Jouis Nour","4","Bio;Vegetarian","Adlershof","Kohlrabicreme-Suppe mit Schnittlauch","20.7.2017"
"Jouis Nour","7","Bio","Adlershof","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree","21.7.2017"
"Jouis Nour","5.5","Bio;Vegetarian","Adlershof","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto","21.7.2017"
"Jouis Nour","4","Bio;Vegetarian;Vegan","Adlershof","Blumenkohl-Süppchen mit gerösteten Haferflocken","21.7.2017"
"Jouis Nour","7.5","Bio","Adlershof","Schaschlik-Spieß mit ungarische, Letscho und Reis","24.7.2017"
"Jouis Nour","5.9","Bio;Vegetarian","Adlershof","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand","24.7.2017"
"Jouis Nour","4","Bio;Vegetarian;Vegan","Adlershof","Paprika-Mais Suppe mit Sonnenblumenkerne","24.7.2017"
"Jouis Nour","7","Bio","Adlershof","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce","25.7.2017"
"Jouis Nour","5.9","Bio;Vegetarian","Adlershof","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip","25.7.2017"
"Jouis Nour","4","Bio;Vegetarian","Adlershof","Champignon-Cremesuppe mit frischen Kräutern","25.7.2017"
"Jouis Nour","7.5","Bio","Adlershof","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln","26.7.2017"
"Jouis Nour","5.9","Bio;Vegetarian","Adlershof","Bandnudeln an Pfifferlingsrahm und Krischtomaten","26.7.2017"
"Jouis Nour","4","Bio;Vegetarian","Adlershof","Berliner Kartoffelsuppe mit Kräuterschmand","26.7.2017"
"Jouis Nour","7.9","Fish","Adlershof","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat","27.7.2017"
"Jouis Nour","5.9","Bio;Vegetarian","Adlershof","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip","27.7.2017"
"Jouis Nour","4","Bio;Vegetarian","Adlershof","Tomatencremesuppe mit Käse-Croutons","27.7.2017"
"Jouis Nour","7.5","Bio","Adlershof","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln","28.7.2017"
"Jouis Nour","6","Bio;Vegetarian;Vegan","Adlershof","Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern","27.7.2017"
"Jouis Nour","4","Bio;Vegetarian","Adlershof","Lauch-Rahmsüppchen mit Karotttenraspeln","27.7.2017"
"Suppencult","5,40/5,80","","Alexanderplatz","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet","19.07.2017"
"Suppencult","5,40/5,80","","Alexanderplatz","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet","20.07.2017"
"Suppencult","5,40/5,80","","Alexanderplatz","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet","21.07.2017"
"Suppencult","5,60/6,00","","Alexanderplatz","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet","17.07.2017"
"Suppencult","5,60/6,00","","Alexanderplatz","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet","18.07.2017"
"Suppencult","5,60/6,00","","Alexanderplatz","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet","19.07.2017"
"Suppencult","5,60/6,00","","Alexanderplatz","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet","20.07.2017"
"Suppencult","5,60/6,00","","Alexanderplatz","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet","21.07.2017"
"Suppencult","4,30","","Alexanderplatz","Türkische Linsensuppe Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","17.07.2017"
"Suppencult","4,30","","Alexanderplatz","Türkische Linsensuppe Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","18.07.2017"
"Suppencult","4,30","","Alexanderplatz","Türkische Linsensuppe Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","19.07.2017"
"Suppencult","4,30","","Alexanderplatz","Türkische Linsensuppe Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","20.07.2017"
"Suppencult","4,30","","Alexanderplatz","Türkische Linsensuppe Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","21.07.2017"
"Suppencult","4,25","","Alexanderplatz","Sommerlicher Gemüseeintopf mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander","17.07.2017"
"Suppencult","4,25","","Alexanderplatz","Sommerlicher Gemüseeintopf mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander","18.07.2017"
"Suppencult","4,25","","Alexanderplatz","Sommerlicher Gemüseeintopf mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander","19.07.2017"
"Suppencult","4,25","","Alexanderplatz","Sommerlicher Gemüseeintopf mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander","20.07.2017"
"Suppencult","4,25","","Alexanderplatz","Sommerlicher Gemüseeintopf mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander","21.07.2017"
"Suppencult","4,40","","Alexanderplatz","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch","17.07.2017"
"Suppencult","4,40","","Alexanderplatz","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch","18.07.2017"
"Suppencult","4,40","","Alexanderplatz","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch","19.07.2017"
"Esswirtschaft","","","Adlershof","Lachs im Cajun-Gewürzmantel mit Kräuter-Schmand, dazu Kartoffel-Gurkensalat","21.07.2017"
"Esswirtschaft","","Vegetarian","Adlershof","Apfel-Bananen-Curry auf Schmorkartoffeln","21.07.2017"
"business","price","ingredients","location","dish","date"
"Sonnenschein","4.00","","Adlershof","Borschtsch Ukrainische Art & 1 Brötchen","17.07.2017"
"Sonnenschein","6.00","","Adlershof","Rinderroulade in Del.sauce, Apfelrotkohl, Butterkartoffeln","17.07.2017"
"Sonnenschein","6.00","","Adlershof","Hühnerbrust mit Gemüse Julien unter Pesto Sauce, Butterkartoffeln, kl. Salat","17.07.2017"
"Sonnenschein","5.90","","Adlershof","Lasagne Bolognese, cremige Tomatensauce, kl. Salat","17.07.2017"
"Sonnenschein","5.80","","Adlershof","Tortiglioni „Carbonara“, Parmesankäse","17.07.2017"
"Sonnenschein","5.00","Vegetarian","Adlershof","Kohlrouladen, Kräuterrahmsauce (vegetarisch)","17.07.2017"
"Sonnenschein","4.00","","Adlershof","Chili con Carne & 1 Brötchen","18.07.2017"
"Sonnenschein","6.00","","Adlershof","Rinderhacksteak auf grüne Bohnen in cremige Tomatensauce mit Feta überbacken Griechische Art, Reis","18.07.2017"
"Sonnenschein","6.00","","Adlershof","Hähnchenschnitzel Piccata, Bratkartoffel, Kräuterrahmsauce, Salat","18.07.2017"
"Sonnenschein","5.90","","Adlershof","Schweine Roulade, Kaisergemüse, Bratkartoffeln, Kräuterrahmsauce","18.07.2017"
"Sonnenschein","5.80","","Adlershof","Hackröllchen in Auberginen-Bacon-Mantel, cremige Tomatensauce, Nudeln","18.07.2017"
"Sonnenschein","5.00","Vegetarian","Adlershof","Senf Eier, Butterkartoffeln, Blumenkohlröschen (vegetarisch)","18.07.2017"
"Sonnenschein","4.00","","Adlershof","Rote Linseneintopf mit Kasseler Würfeln & 1 Brötchen","19.07.2017"
"Sonnenschein","6.50","","Adlershof","Roastbeef Braten, grüne Bohnen, Butterkartoffeln, Zwiebelrahmsauce","19.07.2017"
"Sonnenschein","6.00","","Adlershof","Wrap, Sauce Bolognese, Salat","19.07.2017"
"Sonnenschein","6.00","","Adlershof","Hühnerbrust „Fromage“, Nudeln, Kräuterrahmsauce","19.07.2017"
"Sonnenschein","5.90","","Adlershof","Riesen Currywurst, Bratkartoffeln, Salat","19.07.2017"
"Sonnenschein","5.00","Vegetarian","Adlershof","Gemüse Lasagne, cremige Tomatensauce, Salat (vegetarisch)","19.07.2017"
"Sonnenschein","4.00","","Adlershof","Kartoffelsuppe mit einer Wienerwurst & 1 Brötchen","20.07.2017"
"Sonnenschein","6.80","","Adlershof","Norwegische Lachsroulade mit Spinatkäsefüllung, Butterkartoffeln, Möhrengemüse, Kräuterrahmsauce","20.07.2017"
"Sonnenschein","6.00","","Adlershof","Hähnchen Cordon Bleu, Nudeln, Käsesauce, Babymöhren","20.07.2017"
"Sonnenschein","5.90","","Adlershof","Zrazy (Schweineboulette mit Eilauchfüllung) Butterkartoffeln, Erbsen, Delikates Sauce","20.07.2017"
"Sonnenschein","5.00","Vegetarian","Adlershof","Mit eingelegte Tomaten gefüllte Kartoffelbouletten, Salat, Sauce (vegetarisch)","20.07.2017"
"Sonnenschein","4.00","","Adlershof","Hühner-Curry-Cremesuppe & 1 Brötchen","21.07.2017"
"Sonnenschein","6.00","","Adlershof","Schweine Cordon Bleu, Bratkartoffeln, Champignon Rahmsauce","21.07.2017"
"Sonnenschein","6.00","","Adlershof","Hackschnitte mit Ei auf Gorgonzola Blattspinat, Gnocchi","21.07.2017"
"Sonnenschein","6.00","","Adlershof","Hähnchenschnitzel Wiener Art, Bratkartoffeln, Zitrone, Salat","21.07.2017"
"Sonnenschein","5.00","Vegetarian","Adlershof","Tortellini mit Ricotta-Spinatfüllung, Kräuterrahmsauce (vegetarisch)","21.07.2017"
"La Petite","6,60","","Adlershof","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","17.07.2017"
"La Petite","6,60","","Adlershof","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","18.07.2017"
"La Petite","6,60","","Adlershof","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","19.07.2017"
"La Petite","6,60","","Adlershof","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","20.07.2017"
"La Petite","6,60","","Adlershof","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","21.07.2017"
"La Petite","6,30","","Adlershof","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat","17.07.2017"
