"4,30","Suppencult","","Alexanderplatz","20.07.2017","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie"
"4,30","Suppencult","","Alexanderplatz","21.07.2017","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie"
"4,40","Suppencult","","Alexanderplatz","17.07.2017","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander"
"4,40","Suppencult","","Alexanderplatz","18.07.2017","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander"
"4,40","Suppencult","","Alexanderplatz","19.07.2017","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander"
"4,40","Suppencult","","Alexanderplatz","20.07.2017","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander"
"4,40","Suppencult","","Alexanderplatz","21.07.2017","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander"
"5,50","Suppencult","","Alexanderplatz","17.07.2017","Königsberger Klopse An heißen Sommertagen servieren wir Euch auch extra kalte Suppen, Salate und Desserts. Bitte achtet auch auf die Angebote im Laden."
"5,50","Suppencult","","Alexanderplatz","18.07.2017","Königsberger Klopse An heißen Sommertagen servieren wir Euch auch extra kalte Suppen, Salate und Desserts. Bitte achtet auch auf die Angebote im Laden."
"5,50","Suppencult","","Alexanderplatz","19.07.2017","Königsberger Klopse An heißen Sommertagen servieren wir Euch auch extra kalte Suppen, Salate und Desserts. Bitte achtet auch auf die Angebote im Laden."
"5,50","Suppencult","","Alexanderplatz","20.07.2017","Königsberger Klopse An heißen Sommertagen servieren wir Euch auch extra kalte Suppen, Salate und Desserts. Bitte achtet auch auf die Angebote im Laden."
"5,50","Suppencult","","Alexanderplatz","21.07.2017","Königsberger Klopse An heißen Sommertagen servieren wir Euch auch extra kalte Suppen, Salate und Desserts. Bitte achtet auch auf die Angebote im Laden."
"5,40/5,80","Suppencult","","Alexanderplatz","17.07.2017","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet"
"5,40/5,80","Suppencult","","Alexanderplatz","18.07.2017","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet"
"price","business","ingredients","location","date","dish"
"","Esswirtschaft","","Adlershof","17.07.2017","Schweinegulasch mit Paprika, dazu Spiralnudeln"
"","Esswirtschaft","","Adlershof","18.07.2017","Schweinegulasch mit Paprika, dazu Spiralnudeln"
"","Esswirtschaft","","Adlershof","19.07.2017","Schweinegulasch mit Paprika, dazu Spiralnudeln"
"","Esswirtschaft","","Adlershof","20.07.2017","Schweinegulasch mit Paprika, dazu Spiralnudeln"
"","Esswirtschaft","","Adlershof","21.07.2017","Schweinegulasch mit Paprika, dazu Spiralnudeln"
"","Esswirtschaft","","Adlershof","17.07.2017","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing"
"","Esswirtschaft","","Adlershof","18.07.2017","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing"
"","Esswirtschaft","","Adlershof","19.07.2017","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing"
"","Esswirtschaft","","Adlershof","20.07.2017","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing"
"","Esswirtschaft","","Adlershof","21.07.2017","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing"
"","Esswirtschaft","vegan;vegetarian","Adlershof","17.07.2017","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing"
"","Esswirtschaft","vegan;vegetarian","Adlershof","18.07.2017","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing"
"","Esswirtschaft","vegan;vegetarian","Adlershof","19.07.2017","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing"
"","Esswirtschaft","vegan;vegetarian","Adlershof","20.07.2017","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing"
"","Esswirtschaft","vegan;vegetarian","Adlershof","21.07.2017","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing"
"","Esswirtschaft","","Adlershof","17.07.2017","Südtiroler Berglinsensuppe mit Kasseler"
"","Esswirtschaft","","Adlershof","18.07.2017","Südtiroler Berglinsensuppe mit Kasseler"
"","Esswirtschaft","","Adlershof","19.07.2017","Südtiroler Berglinsensuppe mit Kasseler"
"","Esswirtschaft","","Adlershof","20.07.2017","Südtiroler Berglinsensuppe mit Kasseler"
"","Esswirtschaft","","Adlershof","21.07.2017","Südtiroler Berglinsensuppe mit Kasseler"
"","Esswirtschaft","","Adlershof","17.07.2017","Klare Glasnudelsuppe mit Geflügelstreifen"
"","Esswirtschaft","","Adlershof","18.07.2017","Klare Glasnudelsuppe mit Geflügelstreifen"
"","Esswirtschaft","","Adlershof","19.07.2017","Klare Glasnudelsuppe mit Geflügelstreifen"
"","Esswirtschaft","","Adlershof","20.07.2017","Klare Glasnudelsuppe mit Geflügelstreifen"
"","Esswirtschaft","","Adlershof","21.07.2017","Klare Glasnudelsuppe mit Geflügelstreifen"
"","Esswirtschaft","","Adlershof","17.07.2017","Vegane Karottensuppe"
"","Esswirtschaft","","Adlershof","18.07.2017","Vegane Karottensuppe"
"","Esswirtschaft","","Adlershof","19.07.2017","Vegane Karottensuppe"
"","Esswirtschaft","","Adlershof","20.07.2017","Vegane Karottensuppe"
"","Esswirtschaft","","Adlershof","21.07.2017","Vegane Karottensuppe"
"","Esswirtschaft","","Adlershof","17.07.2017","Hähnchen-Nudel-Pfanne indonesisch"
"","Esswirtschaft","vegetarian","Adlershof","17.07.2017","Pilzragout “Stroganoff” mit Spinatspätzle und Crème fraîche"
"","Esswirtschaft","","Adlershof","18.07.2017","Topf vom Kräuterschwein mit weißen und grünen Bohnen, dazu Salzkartoffeln"
"","Esswirtschaft","vegetarian","Adlershof","18.07.2017","Pappardelle mit Mandel – Spinat – Sauce"
"","Esswirtschaft","","Adlershof","19.07.2017","Tandoori Huhn mit Erdnuss, Kreuzkümmel dazu Basmatireis"
"","Esswirtschaft","vegan;vegetarian","Adlershof","19.07.2017","Klassisches Ratatouille mit Kartoffelgnocchi"
"","Esswirtschaft","","Adlershof","20.07.2017","Geschmorte Rinderschulter mit Karotten und Kartoffelstampf"
"","Esswirtschaft","vegetarian","Adlershof","20.07.2017","Penne Rigate mit Basilikumpesto, Parmesan und fritiertem Rucola"
"5,40/5,80","Suppencult","","Alexanderplatz","19.07.2017","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet"
"5,40/5,80","Suppencult","","Alexanderplatz","20.07.2017","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet"
"5,40/5,80","Suppencult","","Alexanderplatz","21.07.2017","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet"
"5,60/6,00","Suppencult","","Alexanderplatz","17.07.2017","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet"
"5,60/6,00","Suppencult","","Alexanderplatz","18.07.2017","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet"
"5,60/6,00","Suppencult","","Alexanderplatz","19.07.2017","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet"
"5,60/6,00","Suppencult","","Alexanderplatz","20.07.2017","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet"
"5,60/6,00","Suppencult","","Alexanderplatz","21.07.2017","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet"
"4,30","Suppencult","","Alexanderplatz","17.07.2017","Türkische Linsensuppe Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden"
"4,30","Suppencult","","Alexanderplatz","18.07.2017","Türkische Linsensuppe Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden"
"4,30","Suppencult","","Alexanderplatz","19.07.2017","Türkische Linsensuppe Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden"
"4,30","Suppencult","","Alexanderplatz","20.07.2017","Türkische Linsensuppe Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden"
"4,30","Suppencult","","Alexanderplatz","21.07.2017","Türkische Linsensuppe Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden"
"4,25","Suppencult","","Alexanderplatz","17.07.2017","Sommerlicher Gemüseeintopf mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander"
"4,25","Suppencult","","Alexanderplatz","18.07.2017","Sommerlicher Gemüseeintopf mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander"
"4,25","Suppencult","","Alexanderplatz","19.07.2017","Sommerlicher Gemüseeintopf mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander"
"4,25","Suppencult","","Alexanderplatz","20.07.2017","Sommerlicher Gemüseeintopf mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander"
"4,25","Suppencult","","Alexanderplatz","21.07.2017","Sommerlicher Gemüseeintopf mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander"
"4,40","Suppencult","","Alexanderplatz","17.07.2017","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch"
"4,40","Suppencult","","Alexanderplatz","18.07.2017","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch"
"4,40","Suppencult","","Alexanderplatz","19.07.2017","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch"
"","Esswirtschaft","","Adlershof","21.07.2017","Lachs im Cajun-Gewürzmantel mit Kräuter-Schmand, dazu Kartoffel-Gurkensalat"
"","Esswirtschaft","vegetarian","Adlershof","21.07.2017","Apfel-Bananen-Curry auf Schmorkartoffeln"
"price","business","ingredients","location","date","dish"
"7.5","Jouis Nour","bio","Adlershof","14.7.2017","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat"
"5.9","Jouis Nour","bio;vegetarian","Adlershof","14.7.2017","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip"
"4.5","Jouis Nour","bio;vegetarian","Adlershof","14.7.2017","Zucchinicremesuppe mit gerösteten Haferflocken"
"7.5","Jouis Nour","bio","Adlershof","17.7.2017","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip"
"5.9","Jouis Nour","bio;vegetarian","Adlershof","17.7.2017","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce"
"4.5","Jouis Nour","bio;vegetarian","Adlershof","17.7.2017","Zucchinicremesuppe mit gerösteten Haferflocken"
"7.5","Jouis Nour","bio","Adlershof","18.7.2017","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark"
"5.9","Jouis Nour","bio;vegetarian;vegan","Adlershof","18.7.2017","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce"
"4","Jouis Nour","bio;vegetarian","Adlershof","18.7.2017","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse"
"7.5","Jouis Nour","bio","Adlershof","19.7.2017","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons"
"5.5","Jouis Nour","bio;vegetarian","Adlershof","19.7.2017","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat"
"4.5","Jouis Nour","bio;vegetarian;vegan","Adlershof","19.7.2017","Grüner Bohnen-Eintopf mit Sonnenblumenkernen"
"7.9","Jouis Nour","fish","Adlershof","20.7.2017","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat"
"5.9","Jouis Nour","bio;vegetarian","Adlershof","20.7.2017","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste"
"4","Jouis Nour","bio;vegetarian","Adlershof","20.7.2017","Kohlrabicreme-Suppe mit Schnittlauch"
"7","Jouis Nour","bio","Adlershof","21.7.2017","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree"
"5.5","Jouis Nour","bio;vegetarian","Adlershof","21.7.2017","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto"
"4","Jouis Nour","bio;vegetarian;vegan","Adlershof","21.7.2017","Blumenkohl-Süppchen mit gerösteten Haferflocken"
"7.5","Jouis Nour","bio","Adlershof","24.7.2017","Schaschlik-Spieß mit ungarische, Letscho und Reis"
"5.9","Jouis Nour","bio;vegetarian","Adlershof","24.7.2017","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand"
"4","Jouis Nour","bio;vegetarian;vegan","Adlershof","24.7.2017","Paprika-Mais Suppe mit Sonnenblumenkerne"
"7","Jouis Nour","bio","Adlershof","25.7.2017","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce"
"5.9","Jouis Nour","bio;vegetarian","Adlershof","25.7.2017","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip"
"4","Jouis Nour","bio;vegetarian","Adlershof","25.7.2017","Champignon-Cremesuppe mit frischen Kräutern"
"7.5","Jouis Nour","bio","Adlershof","26.7.2017","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln"
"5.9","Jouis Nour","bio;vegetarian","Adlershof","26.7.2017","Bandnudeln an Pfifferlingsrahm und Krischtomaten"
"4","Jouis Nour","bio;vegetarian","Adlershof","26.7.2017","Berliner Kartoffelsuppe mit Kräuterschmand"
"7.9","Jouis Nour","fish","Adlershof","27.7.2017","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat"
"5.9","Jouis Nour","bio;vegetarian","Adlershof","27.7.2017","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip"
"4","Jouis Nour","bio;vegetarian","Adlershof","27.7.2017","Tomatencremesuppe mit Käse-Croutons"
"7.5","Jouis Nour","bio","Adlershof","28.7.2017","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln"
"6","Jouis Nour","bio;vegetarian;vegan","Adlershof","27.7.2017","Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern"
"4","Jouis Nour","bio;vegetarian","Adlershof","27.7.2017","Lauch-Rahmsüppchen mit Karotttenraspeln"
"7.5","Jouis Nour","bio","Adlershof","31.7.2017","Schnitzel mit Pfifferlings-Waldpilz-Rahmsauce, Kartoffelstampf und Tomatensalat"
"5.5","Jouis Nour","bio;vegetarian;vegan","Adlershof","31.7.2017","Spaghettimit Gemüsebolognese und Sonnenblumenkernen"
"4.5","Jouis Nour","bio;vegetarian;vegan","Adlershof","31.7.2017","Feuriger Paprikatopf mit Tofustückchen"
"4,40","Suppencult","","Alexanderplatz","20.07.2017","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch"
"4,40","Suppencult","","Alexanderplatz","21.07.2017","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch"
"4,40","Suppencult","","Alexanderplatz","17.07.2017","Gazpacho kalte andalusische Gemüsesuppe mit Gurken, Tomaten, Paprika, Croutons und frischer Petersilie"
"4,40","Suppencult","","Alexanderplatz","18.07.2017","Gazpacho kalte andalusische Gemüsesuppe mit Gurken, Tomaten, Paprika, Croutons und frischer Petersilie"
"4,40","Suppencult","","Alexanderplatz","19.07.2017","Gazpacho kalte andalusische Gemüsesuppe mit Gurken, Tomaten, Paprika, Croutons und frischer Petersilie"
"4,40","Suppencult","","Alexanderplatz","20.07.2017","Gazpacho kalte andalusische Gemüsesuppe mit Gurken, Tomaten, Paprika, Croutons und frischer Petersilie"
"4,40","Suppencult","","Alexanderplatz","21.07.2017","Gazpacho kalte andalusische Gemüsesuppe mit Gurken, Tomaten, Paprika, Croutons und frischer Petersilie"
"2,50/3,20","Suppencult","","Alexanderplatz","17.07.2017","Kalter Milchreis mit Kirschen oder Apfelmus, zucker und Zimt"
"2,50/3,20","Suppencult","","Alexanderplatz","18.07.2017","Kalter Milchreis mit Kirschen oder Apfelmus, zucker und Zimt"
"2,50/3,20","Suppencult","","Alexanderplatz","19.07.2017","Kalter Milchreis mit Kirschen oder Apfelmus, zucker und Zimt"
"2,50/3,20","Suppencult","","Alexanderplatz","20.07.2017","Kalter Milchreis mit Kirschen oder Apfelmus, zucker und Zimt"
"2,50/3,20","Suppencult","","Alexanderplatz","21.07.2017","Kalter Milchreis mit Kirschen oder Apfelmus, zucker und Zimt"
"2,50/3,20","Suppencult","","Alexanderplatz","17.07.2017","Mascarpone Quarkcrème mit Himbeersoße"
"2,50/3,20","Suppencult","","Alexanderplatz","18.07.2017","Mascarpone Quarkcrème mit Himbeersoße"
"2,50/3,20","Suppencult","","Alexanderplatz","19.07.2017","Mascarpone Quarkcrème mit Himbeersoße"
"2,50/3,20","Suppencult","","Alexanderplatz","20.07.2017","Mascarpone Quarkcrème mit Himbeersoße"
"2,50/3,20","Suppencult","","Alexanderplatz","21.07.2017","Mascarpone Quarkcrème mit Himbeersoße"
"business","location","price","date","ingredients","dish"
"Albert","Adlershof","3.90","17.07.2017","vegetarian","Blumenkohlcremesuppe mit Croutons"
"Albert","Adlershof","5.00","17.07.2017","vegetarian","Linguine mit Waldpilzsauce & Rucola"
"Albert","Adlershof","5.90","17.07.2017","","Seelachsfilet im Knuspermantel auf Kohlrabi-Karottenrahm & Wasabi-Kartoffelpüree"
"Albert","Adlershof","3.90","18.07.2017","","Pikante Maiscremesuppe mit Hähnchenbruststreifen"
"Albert","Adlershof","5.00","18.07.2017","vegetarian","Karotten-Sesam-Knusperschnitzel mit Schnittlauchsauce & Reis"
"Albert","Adlershof","5.80","18.07.2017","","Geschnetzeltes „Züricher Art“ mit Champignons & Spätzle"
"Albert","Adlershof","3.90","19.07.2017","","Weiße Bohneneintopf mit Rindfleisch"
"Albert","Adlershof","5.00","19.07.2017","vegetarian","Cannelloni mit Spinat-Ricottafüllung, Tomatensauce & Mozzarella"
"Albert","Adlershof","5.80","19.07.2017","","Hähnchenbrust in Senf-Estragonsauce mit Broccoli & Reis"
"Albert","Adlershof","3.90","20.07.2017","vegetarian","Gemüsesuppe mit Maultaschenstreifen"
"Albert","Adlershof","5.00","20.07.2017","vegetarian","Lauchquiche mit gemischtem Salat & Honig-Senfdressing"
"Albert","Adlershof","5.80","20.07.2017","","Saltimbocca von der Hähnchenbrust auf Spaghetti mit mediterranem Tomatenragout & Parmesan"
"Albert","Adlershof","3.90","21.07.2017","","Kohlrabieintopf mit Kasseler"
"Albert","Adlershof","5.00","21.07.2017","vegetarian","Käsespätzle mit Röstzwiebeln"
"Albert","Adlershof","5.80","21.07.2017","","Mit Hackfleisch gefüllte Kohlroulade auf Kartoffelstampf"
